date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:22	382/382	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2012:25:22%20GMT	http://tacoboy.com.au/robots.txt		(from )
18:10:22	11261/11261	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2012:25:23%20GMT	http://tacoboy.com.au/	C:/My%20Web%20Sites/taco/tacoboy.com.au/index.html	(from )
18:10:24	2453/2453	---MC-	200	added ('OK')	text/css	date:Mon,%2017%20Feb%202020%2012:25:24%20GMT	http://tacoboy.com.au/css/style.css	C:/My%20Web%20Sites/taco/tacoboy.com.au/css/style.css	(from http://tacoboy.com.au/)
18:10:25	16662/16662	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Mar%202019%2008:23:59%20GMT	http://tacoboy.com.au/js/jquery.flexslider-min.js	C:/My%20Web%20Sites/taco/tacoboy.com.au/js/jquery.flexslider-min.js	(from http://tacoboy.com.au/)
18:10:26	4789/4789	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202019%2007:39:34%20GMT	http://tacoboy.com.au/css/slider.css	C:/My%20Web%20Sites/taco/tacoboy.com.au/css/slider.css	(from http://tacoboy.com.au/)
18:10:26	749/749	---M--	200	added ('OK')	text/css	date:Sun,%2031%20Mar%202019%2009:04:12%20GMT	http://tacoboy.com.au/css/popup.css	C:/My%20Web%20Sites/taco/tacoboy.com.au/css/popup.css	(from http://tacoboy.com.au/)
18:10:29	92792/92792	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js	C:/My%20Web%20Sites/taco/ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js	(from http://tacoboy.com.au/)
18:10:40	84587/84587	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Mar%202019%2011:15:52%20GMT	http://tacoboy.com.au/images/slide1.jpg	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/slide1.jpg	(from http://tacoboy.com.au/)
18:10:41	79927/79927	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Mar%202019%2011:15:52%20GMT	http://tacoboy.com.au/images/slide2.jpg	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/slide2.jpg	(from http://tacoboy.com.au/)
18:10:42	108785/108785	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Mar%202019%2009:38:51%20GMT	http://tacoboy.com.au/images/announcement.jpg	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/announcement.jpg	(from http://tacoboy.com.au/)
18:10:51	57448/57448	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Mar%202019%2011:15:55%20GMT	http://tacoboy.com.au/images/slide4.jpg	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/slide4.jpg	(from http://tacoboy.com.au/)
18:10:52	64438/64438	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Mar%202019%2011:16:04%20GMT	http://tacoboy.com.au/images/slide5.jpg	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/slide5.jpg	(from http://tacoboy.com.au/)
18:10:54	88950/88950	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Mar%202019%2011:16:04%20GMT	http://tacoboy.com.au/images/slide3.jpg	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/slide3.jpg	(from http://tacoboy.com.au/)
18:10:55	158940/158940	---MC-	200	added ('OK')	image/png	date:Mon,%2017%20Feb%202020%2012:25:27%20GMT	http://tacoboy.com.au/images/tacoboy-nowopen.png	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/tacoboy-nowopen.png	(from http://tacoboy.com.au/)
18:11:02	58717/58717	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Mar%202019%2011:16:01%20GMT	http://tacoboy.com.au/images/slide7.jpg	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/slide7.jpg	(from http://tacoboy.com.au/)
18:11:03	54545/54545	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Mar%202019%2011:15:58%20GMT	http://tacoboy.com.au/images/slide8.jpg	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/slide8.jpg	(from http://tacoboy.com.au/)
18:11:04	83311/83311	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Mar%202019%2011:16:00%20GMT	http://tacoboy.com.au/images/slide6.jpg	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/slide6.jpg	(from http://tacoboy.com.au/)
18:11:10	43460/43460	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Mar%202019%2011:15:54%20GMT	http://tacoboy.com.au/images/slide11.jpg	C:/My%20Web%20Sites/taco/tacoboy.com.au/images/slide11.jpg	(from http://tacoboy.com.au/)
